id;nombre;tipo_identificacion;identificacion;correo_electronico;nombre_comercial;telefono;provincia;canton;distrito;barrio;sennas;estado;website
1;Isle;JURIDICA;Loan Loan;Borders transparent;interface Generic;23864;Representative;teal reboot invoice;Analyst schemas Electronics;Research Automotive explicit;Steel JBOD Greece;CANCELADO;e-markets
2;Central standardization;DIMEX;SCSI;Tuna architecture Awesome;standardization Borders Awesome;53352;relationships monetize next-generation;virtual Concrete;HTTP;Cambridgeshire strategize plum;Re-contextualized;CANCELADO;Bacon architectures
3;invoice Borders composite;JURIDICA;Shoes maroon;Gorgeous Fantastic;matrix Azerbaijanian plug-and-play;73422;Account bandwidth;THX;Central solution;AGP viral;unleash Buckinghamshire;ACTIVO;synthesize bypassing
4;Bedfordshire Response Isle;DIMEX;Keyboard Frozen;ROI Georgia;Borders;29803;harness Avon primary;Refined Personal;network Soap invoice;Riel Shoes Dale;Jewelery auxiliary;ACTIVO;streamline Avon Soft
5;Credit;FISICA;Account New Account;Granite;purple red;30837;global;alarm bricks-and-clicks;Gorgeous Central;killer input;GB;INACTIVO;Rubber
6;Tunnel;FISICA;drive;cyan multi-byte transmitter;Up-sized;33254;Ergonomic;incentivize;Small Mandatory Intranet;content-based transmitting;Music Account Bedfordshire;INACTIVO;blue interactive quantifying
7;synthesizing vortals;NITE;payment;Spring Gateway pixel;Data compelling;59382;Cotton Granite;Keyboard Object-based;Baby;Future Unbranded Granite;Planner District;INACTIVO;bypassing mobile invoice
8;Ameliorated Salad;NITE;drive quantify;Junctions;SSL;97785;Accountability Cameroon;navigate indexing COM;Arizona;Interface dot-com;Avon experiences calculating;CANCELADO;copy pink Wooden
9;Berkshire productize;OTRO;Gorgeous Representative;functionalities teal Computer;card;8384;Wooden Republic Group;Connecticut Assistant capability;incubate Pines payment;Account Garden Self-enabling;Australia;INACTIVO;Hat Gorgeous bandwidth
10;Computer fuchsia parse;FISICA;Montana deposit;application;virtual;89787;Sausages invoice wireless;Technician;New Rufiyaa;Bedfordshire;synthesizing Dynamic;ACTIVO;orchestrate generating channels
