id;tipo;consecutivo_bac;plan_bac;nombre;notas;aprobador;notificantes;moneda;vacas_multi;grupo_aprobador;pagador;grupo_contabilidad;estado
1;International Towels indexing;80151;functionalities;Plain salmon Montana;morph visionary;analyzer Factors yellow;Loan Portugal Fish;USD;29784;panel District;Kroon Versatile;Legacy Frozen;CANCELADO
2;bleeding-edge Intranet fuchsia;85134;neural;Afghani stable;calculating;Loan El;Communications Salad Industrial;USD;28912;hierarchy Avon payment;technologies;Small User-friendly;ACTIVO
3;Ergonomic;82450;zero matrix SDR;harness end-to-end;function;black;compelling Stream;USD;49805;Pants Architect;copying Spring;indexing;INACTIVO
4;core;7508;AGP Liaison synergize;Australia Fantastic monetize;sticky;interactive;PCI pricing portals;CRC;77475;Incredible microchip Mews;navigate;connect Functionality;CANCELADO
5;grey Soft Springs;33822;didactic;infomediaries productize Digitized;PNG improvement;violet;Mobility Configuration circuit;CRC;55513;alarm impactful;New Alabama enable;monitor;ACTIVO
6;Strategist Directives;22615;International revolutionary;magenta back-end;generation Trinidad;South Shilling standardization;Function-based Kids;USD;9692;Facilitator Rhode;USB SQL;Supervisor;ACTIVO
7;Customer Lead;86243;Optional;copy;Cheese mobile Bedfordshire;Loan cohesive;payment;USD;87786;Licensed plug-and-play;Florida;panel Clothing;CANCELADO
8;redundant;41130;Keyboard Balboa;FTP TCP initiatives;Handmade panel;Computers;plum seize;USD;83845;back-end Harbors convergence;deploy deposit Tuna;Green;CANCELADO
9;connecting;11638;scalable Assistant;Grass-roots generating;Fords;connect port;haptic transmitting;USD;26013;Outdoors;matrix Ridge transparent;Sleek;CANCELADO
10;Health Louisiana;20714;hardware;Corporate XML Hat;bandwidth program Soft;bypassing EXE transform;Dinar Maine;USD;31876;Auto;Grocery Turnpike Technician;Cotton;CANCELADO
