id;user_id;company;sequence_bank;salario_bruto;adicionales;deducciones;otrasdeducciones;social_security;renta;pago_neto;adicionalesnodeducibles;type;status;process_id
1;Franc PNG;schemas Franc Stand-alone;30213;73279;47814;27580;58523;65193;56534;20248;11295;generate;CANCELLED;Licensed invoice orange
2;Granite Frozen Tasty;protocol Facilitator Computer;55653;11838;56336;13192;14525;84632;57026;1092;74709;Front-line calculate National;PAID;leading-edge
3;COM Timor-Leste Rubber;Planner Polarised;62213;91507;72448;72938;24526;86591;29123;38289;62738;copy hub Birr;DRAFT;models open-source synthesizing
4;bottom-line robust;Decentralized Cambridgeshire;6867;55153;98167;10610;2138;52358;31396;1171;31837;networks;CANCELLED;visionary Fresh
5;metrics;deposit Colombia application;93524;67559;57106;32811;46208;18849;49399;13122;38911;Cotton;DRAFT;De-engineered communities
6;generating Automotive;discrete card Electronics;47102;86444;48105;90084;81519;71815;15247;95452;19929;Colorado Metal;PAID;Account
7;Horizontal transmit Guinea-Bissau;CSS empower redefine;91245;55511;91025;39491;80237;1837;22889;12547;84142;SDD;PAID;Stand-alone
8;Organized Common Handmade;Beauty visionary compress;75294;66641;64132;68030;1027;64833;74307;36362;78914;Markets Stravenue;COMPLETED;Granite Loti
9;wireless Consultant;Tasty;14191;98742;43818;54386;67087;48460;42941;40914;31470;quantifying Gabon;CANCELLED;North Books deposit
10;mobile;program View bypassing;99656;27913;93855;72262;82145;59204;54012;70392;41385;SAS pink Uzbekistan;CANCELLED;toolset enhance
